127.0.0.1 - - [25/Mar/2025:15:47:05 -0300] "GET / HTTP/1.1" 200 203
127.0.0.1 - - [25/Mar/2025:15:47:07 -0300] "GET /Tcc-S.I/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:47:07 -0300] "GET /Tcc-S.I/static/style.css HTTP/1.1" 200 5616
127.0.0.1 - - [25/Mar/2025:15:47:07 -0300] "GET /Tcc-S.I/assets/images/rpg-hero.png HTTP/1.1" 404 232
127.0.0.1 - - [25/Mar/2025:15:47:07 -0300] "GET /Tcc-S.I/assets/images/user2.jpg HTTP/1.1" 404 229
127.0.0.1 - - [25/Mar/2025:15:47:07 -0300] "GET /Tcc-S.I/assets/images/user1.jpg HTTP/1.1" 404 229
127.0.0.1 - - [25/Mar/2025:15:49:44 -0300] "GET /Tcc-S.I/ HTTP/1.1" 200 4210
127.0.0.1 - - [25/Mar/2025:15:49:45 -0300] "GET /Tcc-S.I/static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:49:45 -0300] "GET /Tcc-S.I/assets/images/rpg-hero.png HTTP/1.1" 404 232
127.0.0.1 - - [25/Mar/2025:15:49:45 -0300] "GET /Tcc-S.I/static/Abner.webp HTTP/1.1" 200 18692
127.0.0.1 - - [25/Mar/2025:15:49:45 -0300] "GET /Tcc-S.I/assets/images/user2.jpg HTTP/1.1" 404 229
127.0.0.1 - - [25/Mar/2025:15:50:47 -0300] "GET /Tcc-S.I/ HTTP/1.1" 200 4204
127.0.0.1 - - [25/Mar/2025:15:50:47 -0300] "GET /Tcc-S.I/static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:50:47 -0300] "GET /Tcc-S.I/assets/images/rpg-hero.png HTTP/1.1" 404 232
127.0.0.1 - - [25/Mar/2025:15:50:47 -0300] "GET /Tcc-S.I/static/Abner.webp HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:50:47 -0300] "GET /Tcc-S.I/static/Mestra.jpg HTTP/1.1" 200 887446
127.0.0.1 - - [25/Mar/2025:15:53:14 -0300] "GET /Tcc-S.I/ HTTP/1.1" 200 4894
127.0.0.1 - - [25/Mar/2025:15:53:14 -0300] "GET /Tcc-S.I/static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:53:14 -0300] "GET /Tcc-S.I/assets/images/rpg-hero.png HTTP/1.1" 404 232
127.0.0.1 - - [25/Mar/2025:15:53:14 -0300] "GET /Tcc-S.I/static/Abner.webp HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:53:14 -0300] "GET /Tcc-S.I/static/Mestra.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:53:46 -0300] "GET /Tcc-S.I/ HTTP/1.1" 200 4899
127.0.0.1 - - [25/Mar/2025:15:53:46 -0300] "GET /Tcc-S.I/assets/images/rpg-hero.png HTTP/1.1" 404 232
127.0.0.1 - - [25/Mar/2025:15:53:46 -0300] "GET /Tcc-S.I/static/Abner.webp HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:53:46 -0300] "GET /Tcc-S.I/static/Mestra.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:54:34 -0300] "GET /Tcc-S.I/ HTTP/1.1" 200 4804
127.0.0.1 - - [25/Mar/2025:15:54:34 -0300] "GET /Tcc-S.I/static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:54:34 -0300] "GET /Tcc-S.I/assets/images/rpg-hero.png HTTP/1.1" 404 232
127.0.0.1 - - [25/Mar/2025:15:54:34 -0300] "GET /Tcc-S.I/static/Abner.webp HTTP/1.1" 304 -
127.0.0.1 - - [25/Mar/2025:15:54:34 -0300] "GET /Tcc-S.I/static/Mestra.jpg HTTP/1.1" 304 -
